"id","species.label","site","date","corolla.width","spur.length","blade.length","blade.width","anther.exsertion","sepal.length","sepal.width","blade.cleft","red.mean1","green.mean1","red.mean2","green.mean2","comments","sepal_color"
"MK_01","flavescens","Mt. Kobau","17-Jul",2.4,1.6,0.7,0.9,0.8,2.1,0.7,0,201.61,205.78,176.83,177.98,"",
"MK_02","flavescens","Mt. Kobau","17-Jul",2.3,1.5,0.6,0.9,0.6,2.3,0.7,0,197.82,194.83,203.45,201.98,"",
"MK_03","flavescens","Mt. Kobau","17-Jul",2,1.4,0.6,0.8,0.9,2.1,0.8,0,181.59,185.11,166.13,170.07,"",
"MK_04","flavescens","Mt. Kobau","17-Jul",1.9,1.4,0.6,0.9,0.5,1.6,0.8,0,196.26,194.73,191.32,187.04,"",
"MK_05","flavescens","Mt. Kobau","17-Jul",2.1,1.2,0.8,0.8,0.7,2.1,0.6,0,224.85,223.74,222.82,221.1,"",
"MK_06","flavescens","Mt. Kobau","17-Jul",1.9,1.5,0.7,0.9,0.6,1.9,0.9,0,162.14,167.57,147.86,147.47,"",
"MK_07","flavescens","Mt. Kobau","17-Jul",2.1,1.6,0.5,0.9,0.6,1.7,0.8,0,142.65,144.74,169.09,170.49,"",
"MK_08","flavescens","Mt. Kobau","17-Jul",1.9,1.5,0.5,0.9,0.8,2.2,0.8,0,149.73,124.19,148.2,116.75,"",
"MK_09","flavescens","Mt. Kobau","17-Jul",2.3,1.5,0.7,0.8,0.6,1.8,0.8,0,181.44,185.39,,,"",
"MK_10","flavescens","Mt. Kobau","17-Jul",1.6,1.8,0.7,0.7,0.5,2,0.7,0,193.24,190.62,144.96,145.88,"",
"MK_11","flavescens","Mt. Kobau","17-Jul",2,1.5,0.8,1,0.7,2,0.9,0,154.55,157.64,,,"",
"MK_12","flavescens","Mt. Kobau","17-Jul",2.2,1.2,0.6,0.8,0.6,1.9,0.8,0,196.34,198.69,,,"",
"MK_13","flavescens","Mt. Kobau","17-Jul",2.6,1.9,0.8,0.9,0.4,2.6,1.1,0,177.19,177.84,,,"",
"MK_14","flavescens","Mt. Kobau","17-Jul",1.8,1.2,0.6,0.5,0.7,1.7,0.7,0,143.36,144.58,,,"",
"MK_15","flavescens","Mt. Kobau","17-Jul",2,1.4,0.6,0.8,0.6,2,0.7,0,148.09,142.49,,,"",
"MK_16","flavescens","Mt. Kobau","17-Jul",2,1.5,0.8,0.8,0.5,2.1,0.8,0,122.96,122.72,,,"",
"MK_17","flavescens","Mt. Kobau","17-Jul",2.3,1.2,0.7,0.9,0.9,2,0.7,0,181.83,186.04,,,"",
"MK_18","flavescens","Mt. Kobau","17-Jul",1.9,1.5,0.6,0.9,0.6,2.4,0.8,0,164.72,162.86,,,"",
"Mk_19","flavescens","Mt. Kobau","17-Jul",2,1.6,0.6,0.9,0.5,1.8,0.8,0,191.84,190.6,,,"",
"MK_20","flavescens","Mt. Kobau","17-Jul",1.8,1.4,0.6,0.7,0.6,2.1,0.8,0,156.52,154.13,,,"",
"WG1_02","formosa","Clearwater","17-Jun",1.9,2.3,0.3,0.5,1.2,2.6,1.1,0,181.82,112.37,,,"",
"WG1_03","formosa","Clearwater","17-Jun",1.4,2,0.4,0.3,1.3,2,0.8,0,105.73,68.33,,,"",
"WG1_04","formosa","Clearwater","17-Jun",1.5,2,0.3,0.4,1.1,2,0.9,1,74,43.92,,,"",
"WG1_05","formosa","Clearwater","17-Jun",1.7,2.2,0.2,0.5,1.2,2.4,0.8,1,121.5,72.1,,,"",
"WG1_06","formosa","Clearwater","17-Jun",1.7,2,0.1,0.4,1.4,2.4,0.8,0,123.38,69.32,,,"",
"WG1_07","formosa","Clearwater","17-Jun",1.8,2.1,0.3,0.4,1.3,2.5,0.9,0,178.12,113.89,,,"",
"WG1_08","formosa","Clearwater","17-Jun",1.8,1.9,0.1,0.4,1.4,1.7,0.8,1,111.1,65.36,,,"",
"WG1_09","formosa","Clearwater","17-Jun",1.6,1.9,0.2,0.4,1.2,2.1,0.8,0,104.84,62.07,,,"",
"WG1_10","formosa","Clearwater","17-Jun",1.7,2.1,0.2,0.4,1.2,2.5,1.1,0,,,,,"",
"WG2_01","formosa","Clearwater","17-Jun",1.8,1.6,0.3,0.5,1.4,2,0.9,1,74.02,43.75,,,"",
"WG2_02","formosa","Clearwater","17-Jun",1.9,2,0.2,0.5,1.5,3,0.9,1,55.93,32.66,,,"",
"WG2_03","formosa","Clearwater","17-Jun",1.4,1.7,0.2,0.4,1.3,2.6,0.9,0,71.67,38.92,,,"two specimens, orange-tagged measured",
"WG2_04","formosa","Clearwater","17-Jun",1.7,2.2,0.2,0.5,1.2,2.5,0.9,1,87.89,51.65,,,"",
"WG2_05","formosa","Clearwater","17-Jun",1.8,1.9,0.3,0.4,1.2,2.4,0.9,0,94.32,54.75,,,"",
"WG2_06","formosa","Clearwater","17-Jun",1.6,2.1,0.3,0.4,1.2,2.5,1,0,80.4,46.07,,,"",
"WG2_07","formosa","Clearwater","17-Jun",1.8,2,0.2,0.4,1.3,2.4,0.9,0,87.43,49.87,,,"",
"WG2_08","formosa","Clearwater","17-Jun",1.4,1.8,0.3,0.4,1.2,2.3,0.8,0,114.03,72.23,,,"",
"WG2_09","formosa","Clearwater","17-Jun",1.4,1.7,0.2,0.4,1,2,0.9,0,74.42,43.48,,,"",
"WG2_10","formosa","Clearwater","17-Jun",1.5,1.8,0.2,0.4,1.3,1.8,0.8,1,78.42,43.6,,,"",
"WG3_01","formosa","Clearwater","17-Jun",1.8,2,0.3,0.4,1.1,2.7,0.9,0,115.56,67.25,,,"",
"WG3_02","formosa","Clearwater","17-Jun",1.5,1.8,0.3,0.4,1,2.9,0.9,0,96.44,62.63,,,"",
"WG3_03","formosa","Clearwater","17-Jun",1.8,2,0.2,0.4,1.3,2.7,1,0,147.35,88.04,,,"",
"WG3_04","formosa","Clearwater","17-Jun",1.7,1.8,0.2,0.6,1.2,2.2,0.8,0,183.3,111.98,,,"",
"WG3_05","formosa","Clearwater","17-Jun",1.7,1.7,0.4,0.4,1,2,0.8,0,150.14,86.32,,,"",
"WG3_06","formosa","Clearwater","17-Jun",1.9,2.1,0.2,0.5,1.1,2.5,1.2,1,161.51,106.81,,,"",
