id,site,species.label,elevation,corolla width,spur length,blade length,blade width,anther exsertion,sepal length,sepal width,blade cleft,
stream11,porcupine valley transect,formosa,1862,2,1.9,0.4,0.4,0.9,1.9,0.8,1,
stream9,porcupine valley transect,formosa,1862,2.1,1.7,0.4,0.6,1.1,2.2,1,1,
stream12,porcupine valley transect,formosa,1862,1.8,1.7,0.4,0.5,1,1.9,0.6,1,
stream10,porcupine valley transect,formosa,1862,1.9,1.9,0.3,0.5,1.3,2.3,0.9,1,
stream8,porcupine valley transect,formosa,1862,1.7,1.6,0.4,0.5,0.8,1.6,0.6,1,
stream5,porcupine valley transect,formosa,1864,1.8,1.8,0.4,0.6,0.9,2.2,0.9,1,
stream4,porcupine valley transect,formosa,1864,1.9,2,0.3,0.6,1,2.1,1,0,
stream6,porcupine valley transect,formosa,1864,2.2,1.7,0.6,0.8,0.8,2.5,0.9,0,
stream3,porcupine valley transect,formosa,1880,1.8,1.6,0.4,0.5,1,2.4,1,0,
stream2,porcupine valley transect,formosa,1880,2.1,2,0.3,0.6,1.2,2.1,0.8,0,
stream1,porcupine valley transect,formosa,1880,1.9,2,0.5,0.5,1,2.3,1.1,0,
Q3F,porcupine valley transect,hybrid,1910,2.2,1.8,0.4,0.8,1,2,1.1,1,
Q2FT,porcupine valley transect,hybrid,1910,2,1.7,0.6,0.6,0.8,1.5,0.7,1,
Q1FT,porcupine valley transect,hybrid,1925,1.9,1.4,0.5,0.7,0.7,1.5,0.7,0,
Q3FT,porcupine valley transect,hybrid,1925,1.9,1.7,0.3,0.5,1.1,2,0.9,0,
Q1FT,porcupine valley transect,hybrid,1940,1.7,2,0.4,0.7,0.7,2.3,1,0,
Q4FT,porcupine valley transect,hybrid,1940,2,1.5,0.4,0.5,1.1,2,0.8,0,
Q2Fb,porcupine valley transect,hybrid,1960,1.9,1.7,0.3,0.5,0.9,2.3,0.9,0,
Q2FTa,porcupine valley transect,hybrid,1960,2.1,1.5,0.4,0.7,0.9,2.7,1.1,0,
Q1F,porcupine valley transect,hybrid,1970,1.7,1.7,0.4,0.5,0.8,2,0.9,0,
Q2FT,porcupine valley transect,hybrid,1970,1.9,1.7,0.4,0.6,0.9,1.7,0.9,0,
Q3F,porcupine valley transect,hybrid,1980,1.6,1.5,0.5,0.5,0.8,2.4,0.9,0,
Q2FT,porcupine valley transect,hybrid,2000,1.6,1.1,0.4,0.4,0.9,1.4,0.6,1,
Q2FT,porcupine valley transect,hybrid,1980,1.6,1.2,0.5,0.5,0.8,1.5,0.7,0,
Q1FTb,porcupine valley transect,hybrid,2010,2,1.8,0.4,0.4,1.2,2.3,1,1,
Q3FT,porcupine valley transect,hybrid,2020,2.2,2,0.5,0.8,0.7,2.2,1.2,0,
Q1F,porcupine valley transect,hybrid,2030,1.8,1.6,0.4,0.5,0.9,2.7,0.8,0,
Q3FT,porcupine valley transect,hybrid,2030,1.5,1.2,0.4,0.5,0.6,2,0.8,0,
Q3F,porcupine valley transect,hybrid,2040,1.8,1,0.5,0.6,0.6,2,0.9,0,has one intermediate spur/sepal
Q2FT,porcupine valley transect,hybrid,2040,1.9,1.6,0.4,0.6,1,2,0.7,0,
Q3FT,porcupine valley transect,hybrid,2060,1.8,1.7,0.3,0.5,0.7,2,1,1,
Q2F,porcupine valley transect,hybrid,2050,1.4,0.9,0.4,0.5,0.8,1.2,0.6,0,
Q3FT,porcupine valley transect,hybrid,2050,1.9,1.4,0.5,0.5,1.1,1.9,0.9,1,
Q3F,porcupine valley transect,hybrid,2070,2.2,1.8,0.7,0.7,0.8,2.3,0.8,1,
Q4F,porcupine valley transect,hybrid,2060,1.9,1.6,0.5,0.5,1,2.3,1,1,
Q2FT,porcupine valley transect,hybrid,2070,1.4,1.3,0.3,0.5,0.9,1.2,0.7,0,
Q3FT,porcupine valley transect,hybrid,2080,1.2,0.8,0.2,0.5,0.7,1.1,0.6,0,
Q4F,porcupine valley transect,hybrid,2080,1.7,1.2,0.5,0.4,0.5,1.6,0.7,0,
Q1F,porcupine valley transect,hybrid,2090,1.8,1.2,0.3,0.7,0.8,1.5,0.9,0,
Q1F,porcupine valley transect,hybrid,2090,1.7,1.4,0.5,0.5,0.8,1.9,0.9,1,
Q3FT,porcupine valley transect,hybrid,2100,2,1.3,0.4,0.6,1,1.9,0.6,0,
Q1F,porcupine valley transect,hybrid,2100,1.6,1.2,0.6,0.6,1.1,2.3,0.6,0,
1,porcupine valley transect,hybrid,2129,1.8,1.2,0.5,0.6,0.6,1.7,0.7,0,
2,porcupine valley transect,hybrid,2129,2,1.7,0.5,0.6,0.8,2.3,1,0,
1,porcupine valley transect,hybrid,2118,1.5,1.3,0.3,0.5,0.9,1.5,0.7,0,
4,porcupine valley transect,hybrid,2118,1.5,1.3,0.4,0.5,0.9,2,1,0,
5,porcupine valley transect,hybrid,2108,1.8,1.4,0.6,0.6,1,2.5,0.9,0,
1,porcupine valley transect,hybrid,2108,2.2,1.3,0.7,0.5,0.8,2.1,0.9,0,
4,porcupine valley transect,hybrid,2108,1.8,1.6,0.3,0.5,0.9,2.1,0.7,0,
2,porcupine valley transect,hybrid,2108,1.8,1.3,0.5,0.6,0.8,1.5,0.8,0,
6,porcupine valley transect,hybrid,2108,1.8,1.7,0.4,0.5,0.9,2.4,1,0,
1,adj valley firebreak,formosa,1665,1.7,1.6,0.4,0.6,1,2.3,1,0,
2,adj valley firebreak,formosa,1665,1.8,1.5,0.3,0.5,1,2.2,0.9,0,
3,adj valley firebreak,formosa,1665,1.6,1.9,0.4,0.7,0.9,2.4,1.1,1,
4,adj valley firebreak,formosa,1665,1.6,1.6,0.4,0.4,0.8,1.8,1,0,
5,adj valley firebreak,formosa,1665,1.5,1.9,0.4,0.4,0.9,2.5,1.1,0,
6,adj valley firebreak,formosa,1665,2.1,1.7,0.6,0.5,0.8,2.5,0.7,0,
7,adj valley firebreak,formosa,1665,1.5,1.8,0.4,0.5,0.9,2.3,1,0,
8,adj valley firebreak,formosa,1665,1.6,1.5,0.4,0.4,0.7,1.5,0.9,0,
9,adj valley firebreak,formosa,1665,1.5,1.4,0.4,0.4,0.4,0.9,0.6,0,
10,adj valley firebreak,formosa,1665,1.7,1.7,0.3,0.5,0.7,2.7,0.9,0,
11,adj valley firebreak,formosa,1665,1.9,1.9,0.3,0.5,1,3,1.2,0,
10,adj valley bottom,formosa,1423,1.6,2,0.3,0.4,1.1,2.6,0.8,1,
9,adj valley bottom,formosa,1423,1.6,2.1,0.4,0.4,1.1,2,0.6,1,
8,adj valley bottom,formosa,1423,1.8,2,0.4,0.5,1,2.5,0.9,0,
7,adj valley bottom,formosa,1423,1.5,1.7,0.3,0.3,1.3,2.1,0.7,0,
6,adj valley bottom,formosa,1423,1.8,2,0.3,0.4,1.2,2.3,0.9,1,
